Date,Open,High,Low,Close,Adj Close,Volume
2013-11-01,71.959999,73.529999,69.739998,69.959999,47.396378,75366600
2013-12-01,70.129997,70.540001,67.919998,69.010002,47.266857,54472000
2014-01-01,69.199997,70.680000,67.050003,70.620003,48.369576,70414700
2014-02-01,70.680000,72.669998,69.180000,70.879997,48.547665,60207800
2014-03-01,70.589996,71.360001,68.099998,71.220001,49.320091,70161000
2014-04-01,71.389999,75.129997,70.110001,74.489998,51.584557,60337900
2014-05-01,74.599998,74.779999,69.730003,71.080002,49.223133,56014300
2014-06-01,70.949997,74.389999,68.809998,74.190002,51.941727,58531500
2014-07-01,74.199997,74.480003,70.809998,72.129997,50.499485,55979700
2014-08-01,72.239998,74.000000,69.480003,73.989998,51.801682,59977600
2014-09-01,74.019997,75.209999,72.949997,74.769997,52.937386,66332200
2014-10-01,75.050003,82.680000,74.330002,82.150002,58.162437,84098400
2014-11-01,82.230003,83.900002,78.510002,80.900002,57.277443,68856000
2014-12-01,80.389999,87.290001,80.160004,83.540001,59.720947,74847400
2015-01-01,83.540001,89.970001,82.610001,87.139999,62.294510,59373400
2015-02-01,87.000000,87.290001,77.790001,78.550003,56.153687,76140500
2015-03-01,78.480003,78.480003,73.629997,76.779999,55.411663,89031900
2015-04-01,76.940002,79.879997,76.160004,77.570000,55.981812,62386700
2015-05-01,77.709999,78.849998,74.040001,75.730003,54.653889,67752800
2015-06-01,76.260002,76.360001,70.410004,70.620003,51.502659,91643100
2015-07-01,70.800003,75.709999,70.239998,74.220001,54.128113,69538200
2015-08-01,74.300003,77.529999,70.150002,70.910004,51.714169,82708500
2015-09-01,70.260002,72.019997,67.269997,71.940002,53.046604,67370500
2015-10-01,71.989998,75.290001,70.000000,71.470001,52.700039,65329100
2015-11-01,71.400002,72.550003,65.650002,67.760002,49.964378,71827400
2015-12-01,68.050003,72.750000,65.500000,71.389999,53.287827,73400500
2016-01-01,70.930000,75.410004,70.160004,75.300003,56.206371,59412100
2016-02-01,75.180000,80.099998,73.790001,74.279999,55.445011,90841700
2016-03-01,74.660004,80.709999,72.480003,80.680000,60.858303,87092800
2016-04-01,80.480003,81.389999,76.209999,78.779999,59.425098,55371200
2016-05-01,78.830002,81.279999,75.720001,78.230003,59.010220,64085900
2016-06-01,78.250000,85.790001,77.959999,85.790001,65.391373,71024500
2016-07-01,85.910004,87.309998,84.150002,85.589996,65.238922,60163700
2016-08-01,85.400002,86.000000,79.150002,79.660004,60.718918,69852700
2016-09-01,79.660004,87.750000,77.900002,80.040001,61.630459,59932600
2016-10-01,79.779999,80.489998,75.809998,80.019997,61.615074,62754800
2016-11-01,80.040001,80.050003,73.230003,73.769997,56.802589,80681600
2016-12-01,73.500000,78.239998,72.339996,77.620003,60.447762,68667800
2017-01-01,77.650002,78.559998,76.139999,78.540001,61.164211,56710600
2017-02-01,78.139999,82.820000,76.279999,82.550003,64.287056,61110900
2017-03-01,81.599998,83.589996,80.019997,82.010002,64.574005,76182100
2017-04-01,81.900002,83.349998,81.269997,82.500000,64.959816,43659700
2017-05-01,82.510002,86.010002,81.849998,85.680000,67.463715,55606900
2017-06-01,85.480003,87.489998,83.589996,83.589996,66.502113,59184000
2017-07-01,83.779999,85.330002,82.720001,85.120003,67.719368,43839600
2017-08-01,85.150002,87.949997,84.650002,87.300003,69.453735,48443500
2017-09-01,87.480003,88.400002,83.400002,83.919998,67.455597,48247900
2017-10-01,84.070000,88.639999,83.519997,88.309998,70.984329,49411000
2017-11-01,88.559998,91.800003,87.559998,89.180000,71.683640,55766100
2017-12-01,89.389999,89.720001,83.559998,84.110001,68.279228,53164800
